NO,Tanggal_Match,Match_ID,Game_Rounds,Team_Name,Team_Side,Draft_Order,Is_Ban,Hero_ID,Hero_Name,Hero_Tipe,Hero_Role,Match_Outcome
1,5/2/2025,Match_20250502_1,1,NMSS,Blue,1,TRUE,134,Dharma,Fighter,Clash_Lane,Red_Win
2,5/2/2025,Match_20250502_1,1,DMT,Red,2,TRUE,157,Mai_Shiranui,Assasin,Mid_Lane,Red_Win
3,5/2/2025,Match_20250502_1,1,NMSS,Blue,3,TRUE,531,Jing,Assasin,Jungler,Red_Win
4,5/2/2025,Match_20250502_1,1,DMT,Red,4,TRUE,146,Luna,Fighter,Jungler,Red_Win
5,5/2/2025,Match_20250502_1,1,NMSS,Blue,5,FALSE,199,Arli,Marksman,Farm_Lane,Red_Win
6,5/2/2025,Match_20250502_1,1,DMT,Red,6,FALSE,564,Mayene,Fighter,Clash_Lane,Red_Win
7,5/2/2025,Match_20250502_1,1,DMT,Red,7,FALSE,577,Dyadia,Support,Roamer,Red_Win
8,5/2/2025,Match_20250502_1,1,NMSS,Blue,8,FALSE,534,Sakeer,Support,Roamer,Red_Win
9,5/2/2025,Match_20250502_1,1,NMSS,Blue,9,FALSE,503,Biron,Fighter,Clash_Lane,Red_Win
10,5/2/2025,Match_20250502_1,1,DMT,Red,10,FALSE,133,Di_Renjie,Marksman,Farm_Lane,Red_Win
11,5/2/2025,Match_20250502_1,1,DMT,Red,11,TRUE,197,Yixing,Mage,Mid_Lane,Red_Win
12,5/2/2025,Match_20250502_1,1,NMSS,Blue,12,TRUE,176,Yuhuan,Mage,Mid_Lane,Red_Win
13,5/2/2025,Match_20250502_1,1,DMT,Red,13,TRUE,127,Lady_Zhen,Mage,Mid_Lane,Red_Win
14,5/2/2025,Match_20250502_1,1,NMSS,Blue,14,TRUE,179,Nuwa,Mage,Mid_Lane,Red_Win
15,5/2/2025,Match_20250502_1,1,DMT,Red,15,FALSE,533,Agudo,Marksman,Jungler,Red_Win
16,5/2/2025,Match_20250502_1,1,NMSS,Blue,16,FALSE,517,Augran,Fighter,Jungler,Red_Win
17,5/2/2025,Match_20250502_1,1,NMSS,Blue,17,FALSE,563,Heino,Mage,Mid_Lane,Red_Win
18,5/2/2025,Match_20250502_1,1,DMT,Red,18,FALSE,182,Gan_And_Mo,Mage,Mid_Lane,Red_Win
19,5/2/2025,Match_20250502_2,2,NMSS,Blue,1,TRUE,199,Arli,Marksman,Farm_Lane,Red_Win
20,5/2/2025,Match_20250502_2,2,DMT,Red,2,TRUE,577,Dyadia,Support,Roamer,Red_Win
21,5/2/2025,Match_20250502_2,2,NMSS,Blue,3,TRUE,531,Jing,Assasin,Jungler,Red_Win
22,5/2/2025,Match_20250502_2,2,DMT,Red,4,TRUE,133,Di_Renjie,Marksman,Farm_Lane,Red_Win
23,5/2/2025,Match_20250502_2,2,NMSS,Blue,5,FALSE,157,Mai_Shiranui,Assasin,Mid_Lane,Red_Win
24,5/2/2025,Match_20250502_2,2,DMT,Red,6,FALSE,146,Luna,Fighter,Jungler,Red_Win
25,5/2/2025,Match_20250502_2,2,DMT,Red,7,FALSE,134,Dharma,Fighter,Clash_Lane,Red_Win
26,5/2/2025,Match_20250502_2,2,NMSS,Blue,8,FALSE,108,Mozi,Mage,Roamer,Red_Win
27,5/2/2025,Match_20250502_2,2,NMSS,Blue,9,FALSE,169,Hou_Yi,Marksman,Farm_Lane,Red_Win
28,5/2/2025,Match_20250502_2,2,DMT,Red,10,FALSE,171,Zhang_Fei,Support,Roamer,Red_Win
29,5/2/2025,Match_20250502_2,2,DMT,Red,11,TRUE,564,Mayene,Fighter,Clash_Lane,Red_Win
30,5/2/2025,Match_20250502_2,2,NMSS,Blue,12,TRUE,519,Ao_Yin,Marksman,Farm_Lane,Red_Win
31,5/2/2025,Match_20250502_2,2,DMT,Red,13,TRUE,149,Liu_Bang,Tank,Clash_Lane,Red_Win
32,5/2/2025,Match_20250502_2,2,NMSS,Blue,14,TRUE,197,Yixing,Mage,Mid_Lane,Red_Win
33,5/2/2025,Match_20250502_2,2,DMT,Red,15,FALSE,127,Lady_Zhen,Mage,Mid_Lane,Red_Win
34,5/2/2025,Match_20250502_2,2,NMSS,Blue,16,FALSE,130,Musashi,Fighter,Jungler,Red_Win
35,5/2/2025,Match_20250502_2,2,NMSS,Blue,17,FALSE,510,Sun_Ce,Fighter,Clash_Lane,Red_Win
